127.0.0.1 - - [03/Jun/2017:16:06:58 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:07:04 +0530] "GET /project1/ HTTP/1.1" 200 9284
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:07:05 +0530] "GET /project1/resources/css/carouselsetting.css HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:07:05 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:07:05 +0530] "GET /project1/resources/images/cy5.jpg HTTP/1.1" 200 168182
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:07:05 +0530] "GET /project1/resources/images/cy2.jpg HTTP/1.1" 200 107257
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:07:05 +0530] "GET /project1/resources/images/cy4.jpg HTTP/1.1" 200 85122
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:07:05 +0530] "GET /project1/resources/images/cy3.jpg HTTP/1.1" 200 78530
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:07:05 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:07:05 +0530] "GET /project1/resources/images/cy1.jpg HTTP/1.1" 200 97947
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:09:05 +0530] "GET /project1/aboutus HTTP/1.1" 200 10938
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:09:05 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:09:05 +0530] "GET /project1/resources/css/background.css HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:09:05 +0530] "GET /project1/resources/js/googlemap.js HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:09:05 +0530] "GET /project1/resources/js/sidebar.js HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:09:06 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:09:06 +0530] "GET /project1/resources/images/aus2.jpg HTTP/1.1" 200 1410270
0:0:0:0:0:0:0:1 - - [03/Jun/2017:16:09:07 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
