0:0:0:0:0:0:0:1 - - [28/May/2017:13:04:25 +0530] "GET /w3images/mountains.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [28/May/2017:13:04:26 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:05:38 +0530] "GET /project1/aboutus HTTP/1.1" 200 15763
0:0:0:0:0:0:0:1 - - [28/May/2017:13:05:38 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:05:38 +0530] "GET /w3images/sailboat.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/May/2017:13:05:38 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:05:38 +0530] "GET /w3images/fjords.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:05:38 +0530] "GET /w3images/lights.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:05:38 +0530] "GET /w3images/mountains.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [28/May/2017:13:05:38 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:06:19 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:06:20 +0530] "GET /project1/aboutus HTTP/1.1" 200 15763
0:0:0:0:0:0:0:1 - - [28/May/2017:13:06:20 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:06:20 +0530] "GET /w3images/sailboat.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/May/2017:13:06:20 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:06:20 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:06:20 +0530] "GET /w3images/fjords.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:06:20 +0530] "GET /w3images/lights.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:06:20 +0530] "GET /w3images/mountains.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [28/May/2017:13:06:22 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:07:26 +0530] "GET /project1/aboutus HTTP/1.1" 200 15683
0:0:0:0:0:0:0:1 - - [28/May/2017:13:07:26 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:07:26 +0530] "GET /w3images/sailboat.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/May/2017:13:07:26 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:07:26 +0530] "GET /w3images/lights.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:07:26 +0530] "GET /w3images/mountains.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [28/May/2017:13:07:26 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:07:28 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:08:24 +0530] "GET /project1/aboutus HTTP/1.1" 200 15157
0:0:0:0:0:0:0:1 - - [28/May/2017:13:08:24 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:08:24 +0530] "GET /w3images/sailboat.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/May/2017:13:08:24 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:08:24 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:08:24 +0530] "GET /w3images/lights.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:08:26 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:08:26 +0530] "GET /w3images/sailboat.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/May/2017:13:09:50 +0530] "GET /project1/aboutus HTTP/1.1" 200 14075
0:0:0:0:0:0:0:1 - - [28/May/2017:13:09:50 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:09:50 +0530] "GET /w3images/sailboat.jpg HTTP/1.1" 404 1036
