127.0.0.1 - - [06/Jun/2017:13:33:24 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:33:33 +0530] "GET /project1/ HTTP/1.1" 200 8804
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:33:34 +0530] "GET /project1/resources/css/carouselsetting.css HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:33:34 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:33:34 +0530] "GET /project1/resources/images/cy2.jpg HTTP/1.1" 200 107257
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:33:34 +0530] "GET /project1/resources/images/cy4.jpg HTTP/1.1" 200 85122
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:33:34 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:33:34 +0530] "GET /project1/resources/images/cy1.jpg HTTP/1.1" 200 97947
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:33:34 +0530] "GET /project1/resources/images/cy3.jpg HTTP/1.1" 200 78530
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:33:34 +0530] "GET /project1/resources/images/cy5.jpg HTTP/1.1" 200 168182
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:33:44 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:34:51 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 10848
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:34:51 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:34:52 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:34:52 +0530] "GET /project1/resources/images/8.png HTTP/1.1" 200 65765
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:34:52 +0530] "GET /project1/resources/images/9.png HTTP/1.1" 200 39363
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:34:52 +0530] "GET /project1/resources/images/10.png HTTP/1.1" 200 551754
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:34:52 +0530] "GET /project1/resources/images/15.png HTTP/1.1" 200 31117
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:34:53 +0530] "GET /project1/resources/images/11.png HTTP/1.1" 200 200538
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:34:53 +0530] "GET /project1/resources/images/14.png HTTP/1.1" 200 150626
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:34:53 +0530] "GET /project1/resources/images/16.png HTTP/1.1" 200 220580
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:34:53 +0530] "GET /project1/resources/images/13.png HTTP/1.1" 200 231060
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:34:53 +0530] "GET /project1/resources/images/12.png HTTP/1.1" 200 190998
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:34:53 +0530] "GET /project1/resources/images/17.png HTTP/1.1" 200 95955
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:34:53 +0530] "GET /project1/resources/images/18.png HTTP/1.1" 200 219212
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:06 +0530] "GET /project1/aboutus HTTP/1.1" 200 10938
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:06 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:07 +0530] "GET /project1/resources/css/background.css HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:07 +0530] "GET /project1/resources/js/googlemap.js HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:07 +0530] "GET /project1/resources/js/sidebar.js HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:07 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:07 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:07 +0530] "GET /project1/resources/images/aus2.jpg HTTP/1.1" 200 1410270
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:28 +0530] "GET /project1/homePage HTTP/1.1" 200 8922
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:28 +0530] "GET /project1/resources/css/carouselsetting.css HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:28 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:28 +0530] "GET /project1/resources/images/cy4.jpg HTTP/1.1" 200 85122
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:28 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:28 +0530] "GET /project1/resources/images/cy1.jpg HTTP/1.1" 200 97947
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:28 +0530] "GET /project1/resources/images/cy5.jpg HTTP/1.1" 200 168182
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:28 +0530] "GET /project1/resources/images/cy3.jpg HTTP/1.1" 200 78530
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:35:28 +0530] "GET /project1/resources/images/cy2.jpg HTTP/1.1" 200 107257
