127.0.0.1 - - [20/May/2017:12:49:59 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:05 +0530] "GET /project1/ HTTP/1.1" 200 7703
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:05 +0530] "GET /project1/resources/images/gogreen2.png;jsessionid=98C02EE6370987CDA1A12CB9035FC016 HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:06 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:07 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:18 +0530] "GET /project1/all/product/productlist;jsessionid=98C02EE6370987CDA1A12CB9035FC016 HTTP/1.1" 200 7957
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:19 +0530] "GET /project1/resources/images/6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:19 +0530] "GET /project1/resources/images/5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:19 +0530] "GET /project1/resources/images/4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:19 +0530] "GET /project1/resources/images/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:19 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:19 +0530] "GET /project1/resources/images/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:19 +0530] "GET /project1/resources/images/7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:20 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:43 +0530] "GET /project1/all/product/viewproduct/3 HTTP/1.1" 200 4114
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:43 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:43 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:49 +0530] "GET /project1/homePage HTTP/1.1" 200 7483
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:49 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:50:50 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:52:49 +0530] "GET /project1/aboutus HTTP/1.1" 200 4045
0:0:0:0:0:0:0:1 - - [20/May/2017:12:52:50 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:52:50 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:53:05 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 7957
0:0:0:0:0:0:0:1 - - [20/May/2017:12:53:05 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:53:06 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:53:21 +0530] "GET /project1/admin/product/productform HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [20/May/2017:12:53:21 +0530] "GET /project1/admin/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:57:56 +0530] "GET /carousal/caro.jsp HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [20/May/2017:12:59:11 +0530] "GET /project1/admin/product/productform HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [20/May/2017:12:59:11 +0530] "GET /project1/admin/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:59:11 +0530] "GET /project1/admin/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:59:19 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 7957
0:0:0:0:0:0:0:1 - - [20/May/2017:12:59:19 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:59:19 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:12:59:21 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 7957
0:0:0:0:0:0:0:1 - - [20/May/2017:12:59:22 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
