127.0.0.1 - - [26/Jun/2017:20:16:56 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:04 +0530] "GET /project1/ HTTP/1.1" 200 9261
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:04 +0530] "GET /project1/resources/css/carouselsetting.css HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:05 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:05 +0530] "GET /project1/resources/images/cy3.jpg HTTP/1.1" 200 78530
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:05 +0530] "GET /project1/resources/images/sym.png HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:05 +0530] "GET /project1/resources/images/cy2.jpg HTTP/1.1" 200 107257
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:05 +0530] "GET /project1/resources/images/cy4.jpg HTTP/1.1" 200 85122
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:06 +0530] "GET /project1/resources/images/cy1.jpg HTTP/1.1" 200 97947
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:06 +0530] "GET /project1/resources/images/cy5.jpg HTTP/1.1" 200 168182
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:44 +0530] "GET /project1/aboutus HTTP/1.1" 200 13287
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:45 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:45 +0530] "GET /project1/resources/js/sidebar.js HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:45 +0530] "GET /project1/resources/css/background.css HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:45 +0530] "GET /project1/resources/js/googlemap.js HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:45 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:45 +0530] "GET /project1/resources/images/beauty.jpg HTTP/1.1" 200 171110
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:46 +0530] "GET /project1/resources/images/feelfree.jpg HTTP/1.1" 200 693822
