0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:43 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 10979
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:43 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:43 +0530] "GET /project1/resources/images/sym.png HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:44 +0530] "GET /project1/resources/images/9.png HTTP/1.1" 200 39363
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:44 +0530] "GET /project1/resources/images/8.png HTTP/1.1" 200 65765
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:44 +0530] "GET /project1/resources/images/12.png HTTP/1.1" 200 190998
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:44 +0530] "GET /project1/resources/images/11.png HTTP/1.1" 200 200538
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:44 +0530] "GET /project1/resources/images/14.png HTTP/1.1" 200 150626
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:44 +0530] "GET /project1/resources/images/13.png HTTP/1.1" 200 231060
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:44 +0530] "GET /project1/resources/images/15.png HTTP/1.1" 200 31117
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:44 +0530] "GET /project1/resources/images/10.png HTTP/1.1" 200 551754
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:44 +0530] "GET /project1/resources/images/16.png HTTP/1.1" 200 220580
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:44 +0530] "GET /project1/resources/images/17.png HTTP/1.1" 200 95955
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:44 +0530] "GET /project1/resources/images/18.png HTTP/1.1" 200 219212
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:50 +0530] "GET /project1/all/product/viewproduct/15 HTTP/1.1" 200 7231
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:50 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:51 +0530] "GET /project1/resources/images/sym.png HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:59:51 +0530] "GET /project1/resources/images/15.png HTTP/1.1" 200 31117
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:00:11 +0530] "GET /project1/homePage HTTP/1.1" 200 8886
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:00:12 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:00:12 +0530] "GET /project1/resources/css/carouselsetting.css HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:00:12 +0530] "GET /project1/resources/images/cy5.jpg HTTP/1.1" 200 168182
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:00:12 +0530] "GET /project1/resources/images/cy2.jpg HTTP/1.1" 200 107257
